Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
286,Kutter Crawford,28,BOS,AL,33,33,0,183.2,26,18,8,0,1,1.000,,,1,1,0,1.27,0.79,P,crawfku01
287,Dylan Crews,22,WSN,NL,31,31,28,273.2,67,66,1,0,0,1.000,-3,-13,4,17,0,2.20,2.16,OF,crewsdy01
288,Nabil Crismatt,29,LAD,NL,5,0,0,7.0,1,0,1,0,0,1.000,,,0,0,0,1.29,0.20,P,crismna01
289,Cooper Criswell,27,BOS,AL,26,18,0,99.1,12,8,4,0,1,1.000,,,0,0,0,1.09,0.46,P,criswco01
290,Jeff Criswell,25,COL,NL,13,0,0,19.2,3,1,2,0,0,1.000,,,-2,-20,0,1.37,0.23,P,criswje01
291,Garrett Crochet,25,CHW,AL,32,31,0,146.0,13,4,8,1,1,.923,,,-4,-5,0,0.74,0.38,P,crochga01
292,Jake Cronenworth,30,SDP,NL,149,146,132,1293.1,923,709,208,6,99,.993,-1,-1,-1,-1,2,6.38,5.92,1B-2B,croneja01
293,Declan Cronin,26,MIA,NL,56,0,0,70.1,8,4,3,1,0,.875,,,-5,-14,-1,0.90,0.13,P,cronide01
294,Hans Crouse,25,LAA,AL,25,0,0,25.1,3,0,2,1,0,.667,,,-1,-8,0,0.71,0.08,P,crousha01
295,Pete Crow-Armstrong,22,CHC,NL,117,109,102,965.2,317,306,8,3,0,.991,2,3,11,13,3,2.93,2.68,OF,crowape01
296,Fernando Cruz,34,CIN,NL,69,3,0,66.2,9,2,7,0,0,1.000,,,1,3,0,1.22,0.13,P,cruzfe01
297,Oneil Cruz,25,PIT,NL,135,129,123,1153.1,451,194,231,26,53,.942,-2,-3,-12,-12,-3,3.32,3.15,SS-OF,cruzon01
298,Steven Cruz,25,KCR,AL,5,0,0,5.2,3,2,1,0,0,1.000,,,0,0,0,4.76,0.60,P,cruzst01
299,José Cuas,30,TOT,ZZ,13,0,0,16.1,2,1,1,0,0,1.000,,,0,0,0,1.10,0.15,P,cuasjo01
300,Johnny Cueto,38,LAA,AL,2,2,0,11.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,cuetojo01
301,Xzavion Curry,25,TOT,ZZ,16,5,0,42.2,2,2,0,0,0,1.000,,,0,0,0,0.42,0.13,P,curryxz01
302,John Curtiss,31,COL,NL,3,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,curtijo02
303,Travis d'Arnaud,35,ATL,NL,89,79,74,706.2,744,716,25,3,3,.996,3,5,-6,-10,1,9.44,8.33,C,darnatr01
304,David Dahl,30,PHI,NL,15,13,5,102.0,19,18,1,0,0,1.000,3,32,3,35,0,1.68,1.27,OF,dahlda01
305,Bobby Dalbec,29,BOS,AL,35,23,17,213.1,127,101,26,0,9,1.000,5,27,1,5,0,5.36,3.53,1B-3B-OF,dalbebo01
306,Caden Dana,20,LAA,AL,3,3,0,10.1,1,1,0,0,0,1.000,,,0,0,0,0.87,0.33,P,danaca01
307,Davis Daniel,27,LAA,AL,6,6,0,30.1,4,3,0,1,0,.750,,,0,0,1,0.89,0.50,P,danieda01
308,Yu Darvish,37,SDP,NL,16,16,0,81.2,13,4,9,0,0,1.000,,,0,0,0,1.43,0.81,P,darviyu01
309,Tucker Davidson,28,BAL,AL,1,0,0,4.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,davidtu01
310,Austin Davis,31,SDP,NL,7,0,0,7.0,3,0,2,1,0,.667,,,-1,-29,0,2.57,0.29,P,davisau01
311,Henry Davis,24,PIT,NL,34,31,27,271.1,271,260,9,2,3,.993,-2,-7,-4,-18,-1,8.92,7.91,C,davishe01
312,J.D. Davis,31,TOT,AL,37,32,14,274.0,169,141,27,1,18,.994,-7,-33,-2,-8,1,5.52,4.00,1B-3B,davisjd01
313,Noah Davis,27,COL,NL,9,0,0,20.1,3,1,2,0,0,1.000,,,0,0,0,1.33,0.33,P,davisno01
314,Brett de Geus,26,TOT,ZZ,13,0,0,11.1,3,0,2,1,0,.667,,,0,0,0,1.59,0.15,P,degeubr01
315,Bryan De La Cruz,27,TOT,NL,99,95,86,834.2,190,178,8,4,2,.979,-9,-12,-7,-10,-2,2.01,1.88,OF,delacbr01
316,Elly De La Cruz,22,CIN,NL,160,159,155,1391.0,636,247,360,29,70,.954,-1,-1,-2,-2,2,3.93,3.79,SS,delacel01
317,Enyel De Los Santos,28,TOT,ZZ,64,0,0,64.0,8,3,4,1,0,.875,,,0,0,0,0.98,0.11,P,delosen01
318,Luis De Los Santos,26,TOR,AL,12,8,5,74.1,31,12,17,2,0,.935,1,14,1,16,0,3.51,2.07,3B-1B-OF,deloslu03
319,Jacob deGrom,36,TEX,AL,3,3,0,10.2,1,0,1,0,0,1.000,,,0,0,0,0.84,0.33,P,degroja01
320,Paul DeJong,30,TOT,AL,131,121,110,1058.1,385,143,227,15,35,.961,-10,-12,-8,-9,0,3.15,2.82,SS-3B,dejonpa01
321,Adrian Del Castillo,24,ARI,NL,24,19,17,179.2,181,171,7,3,1,.983,-4,-26,-2,-13,0,8.92,7.42,C,delcaad01
322,Jason Delay,29,PIT,NL,6,5,4,46.0,44,42,2,0,0,1.000,1,24,0,0,0,8.61,7.33,C,delayja01
323,Zach DeLoach,25,CHW,AL,17,16,13,138.2,38,37,1,0,0,1.000,0,0,-1,-8,0,2.47,2.24,OF,deloaza01
324,Jonny DeLuca,25,TBR,AL,97,87,69,794.0,227,219,6,2,2,.991,5,7,5,7,-2,2.55,2.32,OF,delucjo01
325,Reid Detmers,24,LAA,AL,17,17,0,87.1,8,3,5,0,0,1.000,,,-2,-5,0,0.82,0.47,P,detmere01
326,Chris Devenski,33,TBR,AL,19,0,0,26.2,3,2,1,0,0,1.000,,,-1,-8,0,1.01,0.16,P,devench02
327,José Devers,24,MIA,NL,2,1,1,9.1,3,0,3,0,0,1.000,0,-5,1,129,0,2.89,1.50,2B-1B,deverjo01
328,Rafael Devers,27,BOS,AL,130,130,116,1138.1,299,102,185,12,19,.960,-2,-2,-9,-9,1,2.27,2.21,3B,deverra01
329,Zach Dezenzo,24,HOU,AL,15,12,10,109.0,86,82,3,1,9,.988,-3,-30,-2,-22,0,7.02,5.00,1B-3B,dezenza01
330,Aledmys Díaz,33,TOT,AL,14,10,7,84.1,49,28,21,0,6,1.000,-2,-22,-1,-14,0,5.23,3.27,SS-1B-2B-3B-OF,diazal02
331,Alexis Díaz,27,CIN,NL,60,0,0,56.1,6,4,2,0,1,1.000,,,0,0,0,0.96,0.10,P,diazal03
