Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,num,Thr,Opp-Starter-GmeSc
86,86,Jun 30,@,ARI,L1-5,34,32,1,5,0,0,1,1,2,0,13,0,0,0,1,1,1,0,.221,.292,.372,.664,6,10,R,B.Pfaadt(64)
87,87,Jul 2,,LAA,W7-5,35,31,7,7,1,0,2,7,2,0,6,2,0,0,0,0,2,0,.221,.292,.373,.665,4,9,R,J.Soriano(43)
88,88,Jul 3,,LAA,W5-0,36,34,5,10,1,0,2,4,2,0,6,0,0,0,0,0,1,1,.222,.293,.375,.667,7,9,R,D.Daniel(38)
89,89,Jul 4,,LAA,W5-0,35,24,5,4,0,0,1,5,9,0,5,0,1,1,0,1,2,0,.221,.294,.374,.667,6,9,R,R.Contreras(40)
90,90,Jul 5,,BAL,L2-3,33,32,2,5,0,0,2,2,1,0,11,0,0,0,0,0,2,0,.221,.292,.374,.666,4,9,R,A.Suárez(61)
91,91,Jul 6,,BAL,W19-8,49,41,19,18,5,0,5,19,6,0,6,1,0,1,0,0,0,0,.224,.296,.381,.677,6,11,L,C.Povich(9)
92,92,Jul 7,,BAL,L3-6,37,33,3,7,1,0,0,3,2,0,13,1,0,1,0,0,0,0,.224,.295,.380,.675,7,10,R,G.Rodriguez(55)
93,93,Jul 9,@,BOS,L9-12,43,38,9,13,1,0,2,9,4,0,15,0,0,1,0,1,2,0,.225,.297,.381,.678,7,9,R,B.Bello(39)
94,94,Jul 10,@,BOS,W5-2,38,34,5,8,3,0,0,5,3,0,11,0,0,1,0,0,3,0,.225,.297,.381,.677,6,9,R,N.Pivetta(54)
95,95,Jul 11,@,BOS,L0-7,34,30,0,4,0,0,0,0,3,0,11,1,0,0,0,1,1,0,.224,.296,.378,.674,7,9,R,T.Houck(71)
96,96,Jul 12,@,PHI,W6-2,39,35,6,8,0,0,1,6,4,0,8,0,0,0,1,1,0,0,.224,.296,.378,.674,6,12,L,R.Suárez(47)
97,97,Jul 13,@,PHI,L5-11,40,37,5,10,4,0,2,5,3,0,12,0,0,0,0,1,0,0,.225,.296,.380,.676,8,10,R,T.Phillips(49)
98,98,Jul 14,@,PHI,W18-3,46,40,18,15,2,1,8,18,5,0,5,0,0,1,0,0,0,1,.227,.298,.388,.686,1,10,R,O.Kerkering(53)
99,99,Jul 19,,LAA,W13-3,42,38,13,14,3,1,3,12,4,0,7,0,0,0,0,0,0,0,.228,.300,.392,.692,5,12,R,G.Canning(25)
100,100,Jul 20,,LAA,W8-2,35,31,8,11,3,0,1,8,4,1,7,0,0,0,0,1,0,1,.229,.301,.394,.694,3,11,R,J.Kochanowicz(21)
101,101,Jul 21,,LAA,L5-8,40,33,5,8,3,0,1,4,7,0,4,0,0,0,0,2,0,0,.230,.302,.394,.695,8,10,R,C.Fulmer(43)
102,102,Jul 22,,HOU,W4-0,32,31,4,8,2,0,0,3,1,0,4,0,0,0,0,1,1,0,.230,.301,.393,.695,4,9,R,S.Arrighetti(44)
103,103,Jul 23,,HOU,W8-2,38,36,8,13,3,1,5,8,2,0,7,0,0,0,0,1,2,0,.231,.302,.399,.701,6,9,R,J.Bloss(34)
104,104,Jul 24,,HOU,L1-8,38,36,1,9,2,0,0,1,2,0,10,0,0,0,1,1,0,0,.231,.302,.398,.700,10,10,R,H.Brown(59)
105,105,Jul 25,@,LAA,W6-5,40,35,6,9,3,0,3,5,2,0,4,3,0,0,0,0,2,1,.232,.303,.400,.702,7,12,L,K.Rosenberg(24)
106,106,Jul 26,@,LAA,W5-4,37,32,5,7,1,0,2,5,5,0,6,0,0,0,0,1,0,1,.232,.303,.400,.703,5,9,R,C.Fulmer(53)
107,107,Jul 27,@,LAA,W3-1,36,32,3,7,0,0,1,3,3,0,11,0,1,0,1,2,3,0,.231,.303,.399,.702,6,12,L,T.Anderson(62)
108,108,Jul 28,@,LAA,L6-8,37,34,6,7,3,0,0,6,3,0,11,0,0,0,0,1,1,0,.231,.303,.398,.701,4,9,R,J.Soriano(30)
109,109,Jul 30,@,SFG,W5-2,38,34,5,10,1,0,4,5,3,0,7,1,0,0,0,0,0,3,.232,.303,.401,.704,6,11,L,R.Ray(34)
110,110,Jul 31,@,SFG,L0-1,34,33,0,5,0,0,0,0,1,0,6,0,0,0,1,0,0,0,.231,.302,.399,.701,7,10,R,L.Webb(82)
111,111,Aug 2,,LAD,W6-5,36,35,6,11,1,1,3,6,1,0,10,0,0,0,0,0,0,0,.232,.302,.401,.703,6,10,R,G.Stone(30)
112,112,Aug 3,,LAD,L0-10,35,34,0,6,1,0,0,0,1,0,8,0,0,0,1,0,0,0,.231,.301,.399,.701,8,9,R,J.Flaherty(68)
113,113,Aug 4,,LAD,L2-3,35,32,2,6,1,0,1,2,3,0,10,0,0,0,0,1,3,0,.231,.301,.399,.700,6,10,R,R.Ryan(47)
114,114,Aug 5,,CHW,W5-1,37,26,5,4,1,0,1,4,9,0,8,1,0,1,0,0,1,1,.230,.302,.398,.700,8,10,L,K.Bush(44)
115,115,Aug 6,,CHW,L1-5,35,32,1,6,0,0,1,1,2,0,5,1,0,0,0,1,0,0,.230,.301,.397,.698,7,9,R,J.Cannon(59)
116,116,Aug 7,,CHW,W3-2,33,28,3,6,0,0,0,3,3,0,5,1,0,1,0,1,0,1,.230,.301,.396,.697,6,11,R,D.Martin(71)
117,117,Aug 9,@,TOR,L1-3,35,33,1,6,2,0,1,1,2,0,8,0,0,0,0,0,0,0,.230,.301,.395,.696,7,9,R,J.Berríos(68)
118,118,Aug 10,@,TOR,W1-0,34,32,1,8,0,0,1,1,1,0,8,1,0,0,0,3,0,0,.230,.301,.395,.696,6,10,R,Y.Rodríguez(59)
119,119,Aug 11,@,TOR,W8-4,41,36,8,12,5,0,2,7,4,0,9,1,0,0,0,1,1,1,.231,.302,.397,.699,6,9,R,C.Bassitt(21)
120,120,Aug 13,@,NYM,W9-4,43,36,9,11,3,0,1,8,6,0,10,1,0,0,0,1,1,0,.231,.303,.398,.701,7,9,R,P.Blackburn(26)
121,121,Aug 14,@,NYM,L1-9,36,31,1,6,1,0,0,1,4,0,6,0,0,1,0,2,0,0,.231,.303,.396,.699,8,11,L,D.Peterson(65)
122,122,Aug 15,@,NYM,W7-6,50,38,7,12,2,0,1,6,11,0,6,1,0,0,0,0,1,0,.232,.305,.397,.702,16,12,L,J.Quintana(29)
123,123,Aug 17,,SFG,W2-0,34,28,2,6,2,0,0,2,5,0,7,0,0,1,0,1,0,0,.232,.305,.396,.701,8,10,R,H.Birdsong(56)
124,124,Aug 18,,SFG,L2-4,41,38,2,8,0,0,0,1,3,0,16,0,0,0,1,0,0,0,.232,.305,.394,.699,10,12,L,B.Snell(69)
125,125,Aug 19,,TBR,W3-0,31,26,3,6,1,0,1,3,3,0,6,0,1,1,0,2,0,0,.232,.305,.394,.699,4,9,R,T.Bradley(49)
126,126,Aug 20,,TBR,L0-1,31,28,0,3,0,0,0,0,3,0,5,0,0,0,0,2,0,0,.231,.304,.392,.696,4,9,R,S.Baz(74)
127,127,Aug 21,,TBR,L2-4,35,32,2,5,1,0,1,2,2,0,10,1,0,0,1,0,1,0,.230,.303,.391,.695,6,11,R,R.Pepiot(62)
128,128,Aug 22,,TBR,W3-1,36,31,3,9,2,0,0,3,4,0,6,0,0,1,0,1,2,0,.231,.304,.391,.695,9,10,L,J.Springs(35)
129,129,Aug 23,,MIL,L3-11,36,32,3,6,0,0,1,3,4,0,6,0,0,0,0,0,0,0,.230,.303,.390,.694,6,9,R,A.Civale(41)
130,130,Aug 24,,MIL,L5-9,39,38,5,12,2,0,2,5,1,1,8,0,0,0,0,1,1,0,.231,.304,.392,.695,7,11,R,C.Rea(47)
131,131,Aug 25,,MIL,W4-3,32,27,4,5,0,0,0,4,3,0,9,0,0,2,0,0,1,0,.231,.303,.390,.694,4,9,R,F.Montas(51)
132,132,Aug 27,@,CIN,W5-4,41,36,5,8,1,0,3,5,5,1,11,0,0,0,1,0,0,0,.231,.303,.391,.695,9,9,R,J.Junis(65)
