Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Yuki Matsui,28,64,0,0,62.2,6,1,4,1,0,0.833,,,-1,-3,-1,0.72,0.08,,,2,1,0.33,0.20,0,P,matsuyu01
Adam Mazur,23,8,8,0,33.2,5,1,4,0,1,1,,,1,6,0,1.34,0.63,,,2,0,0.00,0.21,1,P,mazurad01
Mason McCoy,29,19,16,14,143.2,53,20,33,0,7,1,-3,-26,0,0,0,3.32,2.79,,,,,,,,SS,mccoyma01
Jackson Merrill,21,155,148,147,1323.1,403,392,8,3,4,0.993,-2,-2,0,0,-2,2.72,2.58,,,,,,,,CF,merrija01
Adrián Morejón,25,60,0,0,63.2,6,1,5,0,0,1,,,-3,-9,0,0.85,0.1,,,9,0,0.00,0.20,0,P,morejad01
Joe Musgrove,31,19,19,0,99.2,24,11,12,1,0,0.958,,,3,6,0,2.08,1.21,,,7,4,0.36,0.20,2,P,musgrjo01
Graham Pauley,23,6,4,1,34.1,12,6,5,1,1,0.917,-1,-33,0,0,0,2.88,0.92,,,,,,,,3B-1B-DH,paulegr01
David Peralta,36,65,53,27,448,89,87,1,1,0,0.989,2,5,-1,-3,1,1.77,1.09,,,,,,,,RF-LF-DH,peralda01
Wandy Peralta,32,46,0,0,38.1,7,2,5,0,0,1,,,1,5,0,1.64,0.15,,,1,0,0.00,0.20,0,P,peralwa01
Martín Pérez,33,10,10,0,52,9,0,9,0,0,1,,,2,8,0,1.56,0.9,,,2,0,0.00,0.21,0,P,perezma02
Jurickson Profar,31,150,150,93,1221.2,249,243,5,1,1,0.996,-6,-6,-8,-8,0,1.83,1.57,,,,,,,,LF-1B-DH,profaju01
Sean Reynolds,26,9,0,0,11,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0.00,0.21,0,P,reynose01
Eguy Rosario,24,27,10,5,111,39,12,26,1,4,0.974,0,-4,1,11,0,3.08,1.23,,,,,,,,3B-2B-DH,rosareg01
Tanner Scott,29,28,0,0,26.1,7,3,3,1,0,0.857,,,0,0,0,2.05,0.21,,,2,1,0.33,0.20,0,P,scottta01
Donovan Solano,36,57,46,39,421.1,207,148,58,1,20,0.995,-1,-4,0,0,1,4.4,2.34,,,,,,,,3B-1B-2B-DH,solando01
Robert Suarez,33,65,0,0,65,7,5,2,0,0,1,,,1,3,0,0.97,0.11,,,0,1,1.00,0.20,0,P,suarero01
Brett Sullivan,30,7,4,4,39,47,45,1,1,0,0.979,0,-7,-1,-31,0,10.62,6.57,0,0,5,1,0.17,0.20,0,C-1B,sullibr01
Fernando Tatis Jr.,25,96,95,86,822.2,182,171,6,5,1,0.973,-7,-10,0,0,2,1.94,1.77,,,,,,,,RF-DH,tatisfe02
Randy Vásquez,25,20,20,0,98,19,4,15,0,2,1,,,1,2,0,1.74,0.95,,,12,4,0.25,0.20,0,P,vasqura02
Tyler Wade,29,72,38,20,381.2,104,48,53,3,5,0.971,-8,-24,-5,-16,0,2.38,1.19,,,,,,,,3B-SS-2B-LF-RF-CF-DH,wadety01
Matt Waldron,27,27,26,0,146.2,19,5,14,0,2,1,,,0,0,0,1.17,0.7,,,16,2,0.11,0.20,1,P,waldrma01
Infield Shifts,,,,,,,,,,,,,,22,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-5,,,,,,,,,,,,,-9999
